uiTimeStamp,uiCycleCounter,eSigStatus,f_VrelRad,f_RangeRad,a_AzAng,f_RcsRaw,f_AzAngVar,f_VrelRadVar,f_RangeRadVar,a_Pdh0
300,6,1,0,83.25,-13.482277934164,0.548767277281357,0,0,0,12.8119538402926
300,6,1,0,84.75,-27.2114785715839,4.13515931710636,0,0,0,14.625938476071
300,6,1,0,85.5,11.7021023539977,3.7328460848432,0,0,0,13.6243097982647
300,6,1,-6.77207697092522,89.25,-64.5947853145092,0.268901316501186,0,0,0,14.1429712654605
300,6,1,-6.39585047254048,89.25,46.0000966141255,1.33017118487301,0,0,0,14.4214519071868
300,6,1,-5.45528422657865,89.25,45.2387015528874,-2.15731014591618,0,0,0,12.8360824341616
300,6,1,0,91.875,38.5552034311111,6.09576693731979,0,0,0,13.3695216601395
300,6,1,5.64339747577101,93.75,48.7449636114438,0.100802871595377,0,0,0,13.1278897316578
300,6,1,7.33641671850232,93.75,48.8466996068778,1.16914813877726,0,0,0,13.9671020460042
350,7,1,0,0,3.41184514120904,65536,0,0,0,27.2332240409107
350,7,1,0,3,39.6188853805529,-38.4877092835341,0,0,0,14.3733316042398
350,7,1,0,33.75,17.3126481181692,-5.27829244039637,0,0,0,14.5974800137669
350,7,1,0,69,-8.99593786224744,5.67697954375662,0,0,0,19.2350124168183
350,7,1,0,75,-11.958891835431,1.56736663360773,0,0,0,16.4242655909689
350,7,1,-6.01962397415575,80.25,43.8601067149958,-4.53193989913426,0,0,0,12.7141025110867
350,7,1,0,83.25,-13.5912095236245,0.72540036680472,0,0,0,12.8970418189237
350,7,1,0,84.75,-26.4182905070112,4.09508005690198,0,0,0,15.2049198466481
350,7,1,0,85.5,11.5801492456266,4.49817421555359,0,0,0,13.2569757264854
350,7,1,-6.77207697092522,89.25,43.7700005635827,1.44074809061719,0,0,0,16.3287011387817
350,7,1,-6.01962397415575,89.25,44.7345095562466,-1.43464758979185,0,0,0,12.5152555162517
350,7,1,0,91.875,52.0711131005212,5.81895804741832,0,0,0,12.7408820264883
350,7,1,7.33641671850232,93.75,48.6257704625824,5.54267250694221,0,0,0,17.2395794140141
400,8,1,0,0,-0.415032272654984,65536,0,0,0,27.6376581347907
400,8,1,0,3,38.5366166592168,-38.945141082039,0,0,0,14.6258137106942
400,8,1,0,33.75,17.6513703154113,-5.25640911894548,0,0,0,15.1835557463105
400,8,1,0,69,-8.63673968054674,5.91422596258805,0,0,0,18.4430443959678
400,8,1,0,75,-12.5109617551562,1.25146568766415,0,0,0,16.2426684760748
400,8,1,-6.01962397415575,80.25,42.9477647867721,-5.35566692292743,0,0,0,13.6902451587898
400,8,1,0,83.25,-13.5746013273142,2.14403858861168,0,0,0,13.882360706276
400,8,1,0,84.75,-25.374838677584,4.28928898342612,0,0,0,16.117541024283
400,8,1,0,85.5,4.09119490824397,3.60414532570304,0,0,0,14.6517788499027
400,8,1,-7.52452996769468,89.25,-63.4253250194418,-4.65977473585782,0,0,0,13.0128175120457
400,8,1,-6.77207697092522,89.25,44.727971001473,2.28605272732956,0,0,0,15.6357980831492
400,8,1,0,91.875,51.7604682600093,5.04838100448268,0,0,0,14.0967017084796
400,8,1,7.33641671850232,93.75,47.8635578158874,3.02064499155306,0,0,0,14.6994028767724
400,8,1,7.71264321688705,93.75,47.8907635103152,1.0861706970335,0,0,0,13.8706284131072
400,8,1,8.08886971527178,93.75,48.6842112631289,1.21975707351349,0,0,0,15.974245765852
450,9,1,0,0,3.41184514120904,65536,0,0,0,27.3941924910157
450,9,1,0,3,38.0004677671128,-37.6656269610107,0,0,0,14.645562332185
450,9,1,0,33.75,17.1583062275265,-5.04149939674699,0,0,0,15.0485428994711
450,9,1,0,69,-9.14263821580275,6.20557070606863,0,0,0,19.8756770548682
450,9,1,-6.01962397415575,72,37.9133513324406,-7.38625564333181,0,0,0,12.4739402302399
450,9,1,0,75,-20.4248398471532,1.56695679694549,0,0,0,15.7992870767926
450,9,1,0,84.75,-27.7312894608788,3.67212312045966,0,0,0,13.1784694682692
450,9,1,0,85.5,11.897267294828,4.16729336068634,0,0,0,13.3708762698882
450,9,1,-7.52452996769468,89.25,-65.6094896800594,-2.89557004066118,0,0,0,13.3766971506727
500,10,1,0,0,-0.415032272654984,65536,0,0,0,27.5057524521246
500,10,1,0,3,40.4924962807619,-39.8155150215905,0,0,0,14.444538970293
500,10,1,0,33.75,17.1947307322382,-5.21877989270746,0,0,0,15.2803997053419
500,10,1,0,69,-9.02874354413239,5.80011664500537,0,0,0,19.3789990278843
