uiTimeStamp,uiCycleCounter,eSigStatus,f_VrelRad,f_RangeRad,a_AzAng,f_RcsRaw,f_AzAngVar,f_VrelRadVar,f_RangeRadVar,a_Pdh0
300,6,1,0,0,3.41184514120904,65536,0,0,0,24.7113293055129
300,6,1,0,4.5,9.06275644792253,-13.628167421859,0,0,0,26.7531880179567
300,6,1,0,5.25,6.82647003825909,-23.0318569896074,0,0,0,16.551145298491
300,6,1,0,34.125,15.1648038301805,-6.22500279823335,0,0,0,14.4899393634626
300,6,1,0,69,-6.77436713260784,5.78249794728535,0,0,0,17.127744217968
300,6,1,-6.01962397415575,72,63.8390948758279,-7.17090595417862,0,0,0,13.191058879789
300,6,1,0,75,-12.4557737864155,3.18782781642956,0,0,0,16.569290018999
300,6,1,-7.14830346930995,80.25,-63.5235085295149,-3.53740541166017,0,0,0,13.7948857768502
300,6,1,-9.21754921042599,89.25,42.9660223035752,-1.23897746780425,0,0,0,13.2632023433975
300,6,1,-8.84132271204125,89.25,42.7784694717692,-0.991546868721784,0,0,0,12.9733930127719
300,6,1,-7.90075646607942,89.25,43.5225366967965,3.10626338042435,0,0,0,14.1556005126068
300,6,1,-7.14830346930995,89.25,42.6483811077476,-1.59827335207486,0,0,0,12.4807532304059
300,6,1,0,91.875,-46.4634216103229,5.17159074718066,0,0,0,14.1556709775627
300,6,1,9.59377570881072,93.75,48.171098087681,2.04011006413351,0,0,0,13.2424226583586
300,6,1,9.97000220719545,93.75,49.8083473053321,4.00559057569994,0,0,0,16.8981827360713
350,7,1,0,0,3.41184514120904,65536,0,0,0,24.1622753084146
350,7,1,0,4.125,0.425980067821115,-15.1124834698309,0,0,0,25.6449344257611
350,7,1,0,5.25,6.61013660823746,-22.2146352300847,0,0,0,16.7929617678994
350,7,1,0,34.125,16.0507905934327,-6.31325289055054,0,0,0,13.5847380644168
350,7,1,-3.38603848546261,48,65.8671765610617,-13.7509084694795,0,0,0,12.7163371981619
350,7,1,0,69,-7.88028807065003,6.12415746637203,0,0,0,16.6402520508646
350,7,1,0,75,-12.0582273217304,3.47899657152462,0,0,0,16.8903132368656
350,7,1,-7.14830346930995,89.25,-63.6141524203121,2.48035734727812,0,0,0,16.1446848276199
350,7,1,-6.77207697092522,89.25,44.7326902693508,1.34424277056215,0,0,0,15.7731867593697
350,7,1,-6.01962397415575,89.25,-62.9128384144759,-0.599018765910145,0,0,0,12.9419559790345
350,7,1,0,91.875,69.8415602793228,6.17647720260614,0,0,0,12.7592780743324
350,7,1,7.52452996769468,93.75,48.3269626236359,2.29251542962565,0,0,0,12.9487366822745
350,7,1,7.90075646607942,93.75,48.670018384082,5.3283499384054,0,0,0,16.138928384997
400,8,1,0,0,3.41184514120904,65536,0,0,0,24.9790847456807
400,8,1,0,4.5,9.17168256098184,-13.7954870583516,0,0,0,26.7309234609175
400,8,1,0,5.25,6.56697512566284,-22.8329975616598,0,0,0,16.8005644614714
400,8,1,0,6,-51.1366519294546,-24.1418695499863,0,0,0,12.4823789059156
400,8,1,0,34.125,15.6117527143993,-6.65333361389901,0,0,0,14.296766554238
400,8,1,-3.38603848546261,48,-41.9534149402123,-12.9337038277475,0,0,0,12.4343859755014
400,8,1,0,69,-7.68453389424203,6.10374440331077,0,0,0,18.0918574567782
400,8,1,-6.01962397415575,72,28.434156850195,-7.84090414879547,0,0,0,13.9547938631742
400,8,1,0,75,-12.2828285276304,3.08082963452671,0,0,0,16.5312228422023
400,8,1,-7.14830346930995,80.25,-65.0140690781172,-3.99586046911399,0,0,0,13.2723610000914
400,8,1,-6.77207697092522,80.25,42.6214736265648,-5.46791722733529,0,0,0,13.0305296555487
400,8,1,-7.90075646607942,89.25,44.1947115517697,2.21993830798179,0,0,0,14.5867677502864
400,8,1,-7.52452996769468,89.25,43.6322020901314,2.36006685390645,0,0,0,14.6841051827531
400,8,1,-6.58396372173285,89.25,44.5987689086775,-1.78149063030678,0,0,0,12.3899286038568
400,8,1,0,91.875,-56.0508757156346,5.00573104777443,0,0,0,13.4659742089795
400,8,1,6.39585047254048,93.75,48.487580890818,-1.28377837782467,0,0,0,13.5764491709547
400,8,1,7.33641671850232,93.75,48.5799943523406,-0.0476803209865722,0,0,0,13.3746443239462
400,8,1,8.27698296446415,93.75,49.5767041943877,4.10532401500255,0,0,0,13.1728550101802
